SEX,AGE,ISO,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
F,20-29,BE,13.3,12.6,12.4,10.0,8.0,9.6,9.6,9.0,9.1,8.7
F,20-29,BG,12.8,10.3,8.6,6.3,5.5,7.4,8.9,6.3,6.8,6.6
F,20-29,CH,6.6,6.7,6.2,6.2,5.9,5.7,6.6,5.2,5.4,6.1
F,20-29,CY,23.5,21.7,17.9,12.9,11.8,10.6,11.4,13.3,10.2,7.9
F,20-29,CZ,9.2,8.2,5.3,4.7,3.6,5.8,5.8,4.4,5.6,5.3
F,20-29,DE,5.3,4.9,4.5,4.0,3.8,4.9,4.8,3.8,4.1,4.6
F,20-29,DK,10.1,9.9,9.9,8.6,8.9,9.8,8.5,7.8,9.1,10.4
F,20-29,EE,8.9,8.1,7.1,6.3,8.5,13.5,8.5,8.1,9.9,13.2
F,20-29,GR,44.8,43.3,40.5,36.6,31.6,31.8,32.3,28.0,24.0,18.2
F,20-29,ES,33.9,32.0,27.7,24.5,23.7,28.1,25.8,21.5,19.9,18.6
F,20-29,FI,13.6,11.5,11.6,10.3,8.5,11.3,8.9,8.3,9.4,10.7
F,20-29,FR,16.7,16.6,15.1,14.7,13.0,14.0,12.7,11.2,11.6,12.1
F,20-29,HR,28.0,22.4,21.1,19.9,15.3,16.1,17.5,16.6,13.0,8.8
F,20-29,HU,11.0,8.7,7.8,6.7,6.3,8.7,7.8,5.4,6.7,7.0
F,20-29,IE,12.5,10.1,8.5,7.6,6.2,9.8,7.8,6.7,5.9,6.7
F,20-29,IS,4.7,4.4,4.1,3.9,5.4,7.8,9.6,6.1,5.0,5.2
F,20-29,IT,29.7,29.2,27.2,25.1,22.3,22.6,22.1,18.3,17.2,14.8
F,20-29,LT,12.8,8.9,6.8,6.0,6.3,10.6,10.2,7.4,7.6,10.9
F,20-29,LU,11.7,9.3,6.5,9.2,8.1,9.8,8.7,7.2,7.4,9.1
F,20-29,LV,11.3,11.7,11.1,9.6,7.6,12.4,8.7,8.1,7.4,10.9
F,20-29,ME,25.3,25.3,26.0,24.8,21.6,31.2,NaN,NaN,NaN,NaN
F,20-29,MK,39.4,38.6,41.0,36.2,32.9,31.1,25.9,24.2,22.6,21.8
F,20-29,MT,6.3,5.2,5.0,2.9,5.2,6.3,4.4,4.5,4.1,4.1
F,20-29,NL,7.3,6.5,5.8,3.8,3.8,5.5,5.1,4.4,4.9,5.5
F,20-29,NO,5.8,5.8,5.5,5.4,4.6,6.0,5.7,4.3,5.2,4.3
F,20-29,PL,13.3,11.2,9.0,7.8,6.6,6.9,6.9,6.4,6.8,6.3
F,20-29,PT,21.5,19.9,16.1,12.7,12.7,14.9,16.2,12.2,12.9,13.0
F,20-29,RO,12.3,11.0,8.8,7.8,7.9,9.6,10.8,11.8,10.7,10.3
F,20-29,RS,36.0,32.0,27.9,25.5,21.3,21.0,19.4,16.6,18.0,15.6
F,20-29,SE,11.2,9.3,9.3,8.7,10.0,11.6,12.3,11.5,11.3,11.3
F,20-29,SI,18.2,16.2,13.5,10.1,8.6,10.2,10.5,9.3,5.5,8.0
F,20-29,SK,17.2,16.8,13.4,10.2,8.1,12.8,13.0,9.9,9.2,9.2
F,20-29,TR,20.5,22.4,23.5,23.2,27.0,25.7,25.5,22.8,21.0,20.5
F,20-64,AT,5.1,5.3,4.8,4.5,4.2,5.1,5.9,4.2,4.5,4.4
F,20-64,BA,NaN,NaN,NaN,NaN,NaN,NaN,21.9,19.7,16.8,16.6
F,20-64,BE,7.7,7.4,7.0,5.4,4.8,5.2,5.7,5.0,4.8,4.9
F,20-64,BG,8.3,7.0,5.9,4.6,3.8,4.6,4.9,3.9,4.2,3.9
F,20-64,CH,4.8,4.9,5.0,5.1,4.7,4.9,5.2,4.3,4.2,4.4
F,20-64,CY,14.6,13.1,11.2,8.7,7.7,7.5,7.2,6.7,5.9,5.1
F,20-64,CZ,6.0,4.6,3.5,2.8,2.3,2.9,3.4,2.7,3.0,2.9
F,20-64,DE,4.2,3.7,3.2,2.9,2.7,3.3,3.1,2.8,2.8,3.1
F,20-64,DK,6.3,6.0,5.6,5.0,4.9,5.6,4.8,4.1,4.8,5.7
F,20-64,EE,6.2,6.3,5.3,5.1,5.0,6.9,5.5,5.0,6.5,7.5
F,20-64,GR,28.9,28.1,26.0,24.2,21.6,19.8,19.0,16.4,14.3,12.6
F,20-64,ES,23.2,21.1,18.8,16.8,15.7,17.2,16.6,14.7,13.6,12.3
F,20-64,FI,8.2,7.8,7.6,6.7,5.5,6.7,6.3,5.7,5.7,6.7
F,20-64,FR,9.6,9.5,9.1,8.8,8.1,7.7,7.4,6.8,6.8,6.8
F,20-64,HR,16.4,13.2,11.5,9.0,6.9,7.0,7.6,7.5,6.3,4.6
F,20-64,HU,6.9,5.0,4.5,3.9,3.4,4.4,4.1,3.4,4.0,4.2
F,20-64,IE,8.6,7.3,5.9,5.2,4.3,5.3,5.5,4.2,3.7,3.9
F,20-64,IS,3.7,2.7,2.1,2.2,2.9,5.0,6.2,3.2,2.5,2.8
F,20-64,IT,12.4,12.6,12.2,11.6,10.9,10.2,10.5,9.2,8.7,7.3
F,20-64,LT,8.3,6.8,5.8,5.6,5.6,7.9,6.8,5.6,6.6,6.6
F,20-64,LU,7.1,6.3,5.2,5.6,5.2,6.6,5.3,4.1,4.6,5.7
F,20-64,LV,8.7,8.6,7.9,6.6,5.6,7.3,6.8,5.8,5.6,6.0
F,20-64,ME,17.0,16.7,16.8,15.3,15.8,18.5,NaN,NaN,NaN,NaN
F,20-64,MK,25.0,22.5,21.6,19.6,18.5,15.8,13.3,12.4,11.3,10.8
F,20-64,MT,4.8,4.6,3.8,3.4,4.4,5.0,3.3,2.8,3.0,2.8
F,20-64,NL,6.7,6.0,4.8,3.5,3.0,3.5,3.7,3.1,3.1,3.3
F,20-64,NO,3.6,3.5,3.3,3.2,2.9,3.6,3.4,2.5,2.7,2.9
F,20-64,PL,7.7,6.1,4.8,3.8,3.5,3.3,3.4,2.9,2.8,3.0
F,20-64,PT,12.6,11.1,9.3,7.3,7.0,7.1,6.9,6.4,6.7,6.7
F,20-64,RO,5.7,4.8,3.8,3.4,3.2,4.6,4.8,4.7,4.9,4.5
F,20-64,RS,18.8,16.4,14.4,13.9,11.3,9.6,12.2,10.0,10.0,8.8
F,20-64,SE,6.4,5.8,5.7,5.5,6.0,7.3,8.0,6.7,6.7,7.2
F,20-64,SI,10.1,8.6,7.5,5.8,4.9,5.5,5.2,4.1,3.4,3.7
F,20-64,SK,12.7,10.6,8.2,6.9,5.8,7.0,6.9,6.2,5.9,5.8
F,20-64,TR,12.5,13.7,13.9,13.7,16.4,14.8,14.7,13.5,12.7,11.7
F,25-29,AT,5.3,5.2,5.2,4.8,5.0,6.0,6.8,4.8,5.6,4.8
F,25-29,BA,NaN,NaN,NaN,NaN,NaN,NaN,28.5,28.4,24.4,21.5
F,25-29,BE,10.2,10.4,9.7,7.9,6.4,7.5,6.7,6.9,7.2,6.8
F,25-29,BG,9.9,8.0,8.0,4.9,5.0,5.8,7.3,5.2,5.4,5.0
F,25-29,CH,5.7,5.6,5.2,6.0,5.4,4.5,6.0,4.6,4.6,5.4
F,25-29,CY,20.3,17.2,16.0,11.3,10.5,10.4,10.4,11.7,8.0,5.2
F,25-29,CZ,7.4,7.4,4.3,4.0,3.1,5.0,4.9,3.6,4.6,4.2
F,25-29,DE,4.9,4.5,4.1,3.7,3.4,4.3,4.1,3.4,3.9,4.1
F,25-29,DK,9.9,11.0,10.1,9.3,9.6,11.1,7.5,6.0,9.1,9.4
F,25-29,EE,7.3,7.3,6.5,4.5,6.8,10.3,6.5,3.6,7.5,9.3
F,25-29,GR,40.7,40.2,37.8,34.0,29.6,29.0,29.0,23.9,22.3,17.0
F,25-29,ES,28.1,26.5,24.0,21.4,19.1,23.7,21.7,17.6,16.3,15.5
F,25-29,FI,11.6,9.9,8.9,7.9,6.5,8.8,7.5,7.8,7.8,9.2
F,25-29,FR,13.7,13.1,12.4,12.5,10.9,11.0,10.0,9.3,10.3,9.7
F,25-29,HR,23.5,20.8,19.1,15.6,14.9,15.9,14.0,16.0,11.1,7.0
F,25-29,HU,9.2,6.7,6.1,5.1,4.8,6.4,4.6,4.3,5.2,4.6
F,25-29,IE,10.8,9.2,7.4,6.3,5.0,6.6,5.0,5.4,NaN,5.6
F,25-29,IS,NaN,NaN,NaN,NaN,6.3,8.5,9.5,7.7,5.3,NaN
F,25-29,IT,24.1,24.5,23.1,21.3,19.1,18.8,17.7,15.6,13.6,12.1
F,25-29,LT,10.5,6.2,3.5,3.2,4.7,6.4,7.0,6.1,6.8,7.8
F,25-29,LU,10.1,6.7,4.9,9.2,6.0,6.4,6.8,4.7,NaN,NaN
F,25-29,LV,9.9,11.3,9.0,8.6,7.1,11.2,6.2,6.7,NaN,9.4
F,25-29,ME,22.6,22.1,23.6,24.4,19.8,26.7,NaN,NaN,NaN,NaN
F,25-29,MK,37.2,34.1,37.7,34.4,29.3,28.1,20.9,17.8,20.1,19.1
F,25-29,MT,6.2,3.2,3.7,NaN,4.2,6.0,4.5,5.0,NaN,3.1
F,25-29,NL,6.3,5.4,4.7,2.9,2.8,3.7,4.3,3.3,3.9,4.2
F,25-29,NO,5.6,5.2,4.7,4.4,3.4,4.7,4.6,NaN,3.7,NaN
F,25-29,PL,9.8,8.3,6.1,5.5,5.1,4.7,4.6,4.4,5.2,4.8
F,25-29,PT,15.5,15.9,11.7,9.4,8.3,10.5,11.4,9.5,9.7,8.5
F,25-29,RO,8.6,7.9,5.5,4.6,4.2,7.5,6.7,7.2,6.7,5.9
F,25-29,RS,31.2,29.1,25.2,23.7,18.4,18.0,15.3,13.6,13.7,13.1
F,25-29,SE,8.4,7.3,7.4,7.1,7.9,9.2,10.0,8.5,9.6,8.4
F,25-29,SI,20.0,17.0,14.1,10.2,8.9,7.9,8.8,7.9,5.8,8.0
F,25-29,SK,13.6,13.4,11.3,8.8,4.7,10.2,10.9,7.2,7.6,6.9
F,25-29,TR,17.4,18.9,19.0,19.9,21.8,20.3,21.2,19.3,17.9,17.7
F,25-49,AT,5.2,5.4,5.0,4.4,4.6,5.3,6.0,4.3,4.7,4.8
F,25-49,BA,NaN,NaN,NaN,NaN,NaN,NaN,21.5,19.3,17.4,17.3
F,25-49,BE,7.5,7.2,6.5,5.4,4.7,5.0,5.6,5.1,4.8,5.1
F,25-49,BG,7.9,6.4,5.8,4.7,3.9,4.7,5.0,4.0,4.3,4.0
F,25-49,CH,4.8,5.1,5.3,5.4,4.9,5.3,5.4,4.5,4.2,4.7
F,25-49,CY,13.2,12.3,11.1,8.7,7.6,7.3,6.9,6.5,5.5,5.1
F,25-49,CZ,6.0,4.6,3.6,2.8,2.4,3.0,3.5,2.8,3.1,3.1
F,25-49,DE,4.1,3.7,3.3,3.0,2.8,3.4,3.1,2.9,3.0,3.4
F,25-49,DK,6.1,6.5,6.1,5.4,5.3,6.1,4.7,4.0,5.1,6.0
F,25-49,EE,5.8,5.7,5.4,5.1,5.0,6.5,5.2,4.6,6.2,7.5
F,25-49,GR,29.8,29.0,26.7,25.5,23.1,21.2,20.1,17.2,15.3,13.5
F,25-49,ES,22.8,20.5,18.4,16.3,15.0,17.1,15.9,13.8,12.9,11.6
F,25-49,FI,7.7,7.4,7.2,6.3,5.0,6.0,5.7,5.4,5.3,6.6
F,25-49,FR,9.5,9.4,9.2,8.9,8.0,7.5,7.2,6.6,6.8,6.7
F,25-49,HR,16.4,13.2,11.3,8.9,7.4,7.3,7.2,7.2,6.0,4.3
F,25-49,HU,6.8,4.6,4.1,3.8,3.4,4.4,3.8,3.2,4.0,3.9
F,25-49,IE,8.3,7.3,5.6,4.9,4.2,4.7,4.8,4.0,3.4,3.7
F,25-49,IS,3.9,3.2,2.1,2.1,3.5,5.6,6.8,3.4,2.7,2.0
F,25-49,IT,13.3,13.6,13.4,12.8,12.2,11.3,11.4,10.2,9.4,8.0
F,25-49,LT,7.6,5.9,4.5,4.8,5.0,6.5,5.9,5.0,6.2,5.9
F,25-49,LU,6.8,6.1,5.3,6.0,5.1,6.7,4.9,3.3,4.4,5.4
F,25-49,LV,8.6,8.7,7.7,6.1,5.4,7.0,6.8,5.8,5.4,6.2
F,25-49,ME,17.7,18.1,18.3,16.9,16.1,18.2,NaN,NaN,NaN,NaN
F,25-49,MK,24.9,22.3,21.3,19.4,17.7,15.5,12.7,12.2,11.8,11.3
F,25-49,MT,4.6,4.0,3.5,3.3,4.6,4.6,2.9,3.0,3.1,2.7
F,25-49,NL,6.2,5.4,4.2,3.0,2.8,3.1,3.7,2.8,2.9,3.2
F,25-49,NO,4.1,4.0,3.8,3.5,3.1,3.9,3.7,2.5,2.7,2.9
F,25-49,PL,7.3,5.8,4.4,3.6,3.4,3.1,3.2,2.7,2.6,3.0
F,25-49,PT,11.7,10.6,8.7,6.7,6.2,6.6,6.4,5.8,6.2,6.2
F,25-49,RO,5.2,4.4,3.4,3.0,2.7,4.3,4.2,4.2,4.5,4.3
F,25-49,RS,19.4,17.6,15.4,14.5,11.9,10.2,12.8,10.4,10.3,9.0
F,25-49,SE,6.0,5.6,5.6,5.7,6.0,7.4,8.2,6.4,6.7,7.2
F,25-49,SI,10.5,9.2,8.0,6.1,5.1,5.7,5.1,4.1,3.6,4.1
F,25-49,SK,12.3,10.1,7.9,6.9,5.4,7.1,6.8,6.1,6.3,6.2
F,25-49,TR,11.8,13.1,13.0,13.1,15.4,13.7,13.6,12.8,12.2,11.3
F,25-54,AT,4.9,5.1,4.7,4.1,4.2,5.0,5.8,4.2,4.4,4.5
F,25-54,BA,NaN,NaN,NaN,NaN,NaN,NaN,21.2,19.1,16.9,16.9
F,25-54,BE,7.1,6.9,6.2,5.0,4.4,4.9,5.2,4.7,4.5,4.8
F,25-54,BG,7.8,6.6,5.8,4.6,3.7,4.5,4.9,4.0,4.2,3.8
F,25-54,CH,4.6,4.9,5.1,5.2,4.7,5.1,5.2,4.4,4.1,4.5
F,25-54,CY,13.2,12.0,10.9,8.6,7.4,7.5,6.9,6.4,5.6,4.9
F,25-54,CZ,5.8,4.5,3.4,2.7,2.3,2.8,3.3,2.6,2.9,2.8
F,25-54,DE,4.0,3.5,3.1,2.8,2.6,3.2,2.9,2.7,2.8,3.1
F,25-54,DK,6.0,6.1,5.5,4.9,4.8,5.5,4.3,3.7,4.6,5.5
F,25-54,EE,5.9,5.7,5.3,5.1,5.0,6.2,5.0,4.3,6.0,7.1
F,25-54,GR,28.7,28.1,25.6,24.1,21.7,20.0,18.8,16.1,14.5,12.8
F,25-54,ES,22.4,20.3,18.2,16.2,15.0,16.6,15.7,13.9,12.8,11.5
F,25-54,FI,7.5,7.4,6.9,6.1,4.9,5.8,5.6,5.4,5.1,6.3
F,25-54,FR,9.0,9.0,8.8,8.4,7.6,7.1,6.7,6.3,6.5,6.3
F,25-54,HR,15.7,13.0,10.9,8.4,6.6,6.6,7.1,7.3,6.0,4.2
F,25-54,HU,6.6,4.5,4.0,3.6,3.2,4.1,3.7,3.2,3.8,3.7
F,25-54,IE,8.2,7.0,5.4,4.9,4.0,4.6,4.8,3.9,3.3,3.5
F,25-54,IS,3.7,2.8,2.0,1.9,3.1,5.0,6.4,3.3,2.5,2.0
F,25-54,IT,12.2,12.5,12.3,11.8,11.2,10.4,10.6,9.5,8.8,7.5
F,25-54,LT,7.8,6.4,5.1,4.7,5.0,6.7,5.9,5.0,6.2,5.7
F,25-54,LU,6.9,5.8,5.0,5.6,4.8,6.2,5.0,3.4,4.2,5.6
F,25-54,LV,8.6,8.7,7.5,6.1,5.2,6.9,6.6,5.8,5.4,5.7
F,25-54,ME,16.7,16.6,17.0,15.8,16.1,18.0,NaN,NaN,NaN,NaN
F,25-54,MK,24.4,21.4,20.6,18.7,17.3,15.0,12.1,11.6,11.2,10.5
F,25-54,MT,4.7,4.2,3.4,3.1,4.4,4.8,3.0,3.0,3.1,2.6
F,25-54,NL,6.3,5.4,4.2,3.0,2.7,3.0,3.5,2.7,2.7,2.9
F,25-54,NO,3.8,3.6,3.4,3.2,2.9,3.6,3.3,2.4,2.5,2.8
F,25-54,PL,7.1,5.7,4.4,3.5,3.3,3.0,3.0,2.6,2.5,2.8
F,25-54,PT,11.5,10.3,8.5,6.6,6.2,6.5,6.1,5.8,6.1,5.9
F,25-54,RO,5.2,4.4,3.3,2.9,2.6,4.2,4.2,4.1,4.3,4.1
F,25-54,RS,18.4,16.5,14.6,14.0,11.2,9.7,12.2,9.7,9.8,8.5
F,25-54,SE,5.8,5.3,5.2,5.2,5.6,7.1,7.7,6.1,6.4,6.8
F,25-54,SI,10.2,8.7,7.5,5.7,4.8,5.3,4.9,3.8,3.2,3.6
F,25-54,SK,12.2,9.8,8.0,6.7,5.3,6.7,6.6,6.1,5.9,5.9
F,25-54,TR,11.3,12.5,12.4,12.5,14.7,13.0,13.0,12.2,11.6,10.8
F,25-59,AT,4.8,5.1,4.7,4.1,4.1,4.8,5.7,4.1,4.2,4.2
F,25-59,BA,NaN,NaN,NaN,NaN,NaN,NaN,20.4,18.6,16.4,16.3
F,25-59,BE,6.9,6.8,6.3,4.9,4.3,4.7,5.0,4.5,4.3,4.6
F,25-59,BG,7.8,6.6,5.7,4.4,3.7,4.4,4.8,3.9,4.2,3.8
F,25-59,CH,4.5,4.8,4.9,5.1,4.5,4.8,5.1,4.2,4.0,4.3
F,25-59,CY,13.3,11.7,10.5,8.3,7.5,7.5,6.9,6.3,5.6,4.8
F,25-59,CZ,5.8,4.4,3.4,2.7,2.3,2.8,3.3,2.6,2.9,2.8
F,25-59,DE,4.0,3.5,3.1,2.7,2.5,3.1,2.9,2.6,2.6,3.0
F,25-59,DK,5.9,5.8,5.2,4.8,4.6,5.3,4.2,3.5,4.4,5.3
F,25-59,EE,6.2,6.1,5.3,5.0,4.7,6.1,5.1,4.3,6.2,7.1
F,25-59,GR,28.0,27.4,25.3,23.7,21.2,19.4,18.2,15.5,13.8,12.2
F,25-59,ES,22.1,20.1,18.0,16.1,14.9,16.3,15.8,13.8,12.9,11.6
F,25-59,FI,7.4,7.3,6.8,5.9,4.9,5.9,5.7,5.3,5.0,6.1
F,25-59,FR,8.8,8.6,8.4,8.2,7.4,6.9,6.6,6.1,6.3,6.1
F,25-59,HR,15.4,12.6,10.7,8.1,6.5,6.6,6.8,7.1,5.8,4.3
F,25-59,HU,6.4,4.5,3.9,3.5,3.1,3.9,3.6,3.1,3.6,3.6
F,25-59,IE,8.0,6.9,5.5,4.9,3.9,4.4,4.9,3.8,3.3,3.5
F,25-59,IS,3.7,2.6,2.0,1.8,2.8,5.0,6.2,3.2,2.3,2.0
F,25-59,IT,11.4,11.6,11.5,10.9,10.5,9.7,9.9,8.8,8.2,7.0
F,25-59,LT,7.9,6.5,5.5,5.3,5.5,7.3,6.2,5.3,6.4,5.9
F,25-59,LU,6.6,5.7,4.9,5.5,4.7,5.9,4.8,3.4,4.0,5.3
F,25-59,LV,8.6,8.7,7.6,6.3,5.5,6.9,6.5,5.5,5.3,5.6
F,25-59,ME,16.2,16.0,16.1,14.9,15.4,17.1,NaN,NaN,NaN,NaN
F,25-59,MK,24.0,21.0,20.0,18.4,17.1,14.7,12.3,11.2,10.9,10.1
F,25-59,MT,4.7,4.3,3.4,3.1,4.2,4.9,3.3,2.9,3.0,2.6
F,25-59,NL,6.4,5.6,4.3,3.2,2.7,3.0,3.4,2.7,2.6,2.8
F,25-59,NO,3.5,3.3,3.2,3.0,2.7,3.4,3.1,2.2,2.4,2.7
F,25-59,PL,6.9,5.5,4.3,3.4,3.2,2.9,3.0,2.5,2.4,2.7
F,25-59,PT,11.5,10.2,8.5,6.6,6.2,6.2,5.9,5.7,6.0,5.9
F,25-59,RO,4.9,4.2,3.2,2.8,2.6,4.1,4.1,4.0,4.3,3.9
F,25-59,RS,17.8,15.7,14.0,13.5,10.8,9.2,11.8,9.6,9.5,8.4
F,25-59,SE,5.6,5.2,5.1,5.0,5.4,6.8,7.5,5.9,6.1,6.6
F,25-59,SI,9.9,8.3,7.3,5.6,4.7,5.1,4.7,3.6,3.2,3.3
F,25-59,SK,12.1,10.0,7.9,6.6,5.4,6.6,6.5,6.0,5.8,5.7
F,25-59,TR,10.9,12.0,11.9,12.0,14.2,12.5,12.5,11.8,11.2,10.4
F,25-64,AT,4.7,4.9,4.6,4.1,4.0,4.7,5.6,4.0,4.1,4.1
F,25-64,BA,NaN,NaN,NaN,NaN,NaN,NaN,20.0,18.1,15.9,15.7
F,25-64,BE,6.8,6.7,6.3,4.8,4.3,4.6,5.0,4.5,4.3,4.5
F,25-64,BG,7.8,6.6,5.7,4.4,3.7,4.4,4.7,3.8,4.0,3.7
F,25-64,CH,4.4,4.6,4.8,4.9,4.5,4.7,5.0,4.2,4.0,4.2
F,25-64,CY,13.1,11.5,10.2,8.0,7.2,7.3,6.8,6.1,5.3,4.6
F,25-64,CZ,5.6,4.4,3.3,2.6,2.2,2.8,3.3,2.6,2.8,2.7
F,25-64,DE,4.1,3.6,3.1,2.7,2.6,3.1,2.9,2.6,2.6,2.9
F,25-64,DK,5.8,5.7,5.1,4.7,4.5,5.3,4.2,3.5,4.3,5.1
F,25-64,EE,5.8,6.0,5.1,4.9,4.5,6.1,5.1,4.3,6.0,6.7
F,25-64,GR,27.4,27.0,24.9,23.3,20.8,19.0,18.0,15.3,13.5,12.2
F,25-64,ES,21.9,19.9,17.8,16.0,14.8,16.1,15.6,13.9,12.9,11.6
F,25-64,FI,7.4,7.2,6.9,6.0,5.0,6.1,5.9,5.5,5.2,6.2
F,25-64,FR,8.6,8.5,8.3,8.1,7.4,6.8,6.6,6.1,6.3,6.1
F,25-64,HR,15.1,12.2,10.5,7.8,6.3,6.4,6.6,6.9,5.8,4.2
F,25-64,HU,6.4,4.5,4.1,3.5,3.1,3.9,3.5,3.1,3.7,3.7
F,25-64,IE,8.0,6.8,5.5,4.8,3.9,4.4,4.9,3.8,3.3,3.5
F,25-64,IS,3.6,2.5,1.9,1.9,2.7,4.8,5.8,3.1,2.3,2.1
F,25-64,IT,10.9,11.2,11.0,10.5,10.0,9.3,9.5,8.5,7.9,6.7
F,25-64,LT,7.7,6.4,5.4,5.2,5.4,7.3,6.3,5.4,6.4,6.1
F,25-64,LU,6.6,5.6,4.9,5.4,4.7,5.9,4.8,3.6,4.1,5.3
F,25-64,LV,8.3,8.4,7.4,6.3,5.4,6.9,6.4,5.5,5.3,5.6
F,25-64,ME,15.8,15.4,15.5,14.5,15.0,16.8,NaN,NaN,NaN,NaN
F,25-64,MK,23.5,20.5,19.6,18.2,16.8,14.3,11.9,10.8,10.3,9.8
F,25-64,MT,4.6,4.1,3.3,3.2,4.1,4.8,3.2,2.8,2.9,2.5
F,25-64,NL,6.5,5.8,4.5,3.4,2.8,3.0,3.5,2.8,2.7,2.8
F,25-64,NO,3.3,3.2,3.0,2.9,2.5,3.2,3.0,2.1,2.3,2.6
F,25-64,PL,6.8,5.4,4.2,3.3,3.1,2.8,2.9,2.4,2.4,2.6
F,25-64,PT,11.4,10.1,8.4,6.6,6.2,6.2,5.9,5.8,6.0,5.9
F,25-64,RO,4.8,4.1,3.1,2.7,2.5,4.0,4.1,3.9,4.2,3.9
F,25-64,RS,17.2,15.1,13.3,13.0,10.4,8.8,11.4,9.3,9.1,8.2
F,25-64,SE,5.5,5.1,5.0,4.9,5.3,6.6,7.3,5.9,6.1,6.5
F,25-64,SI,9.9,8.3,7.2,5.5,4.7,5.1,4.7,3.7,3.3,3.4
F,25-64,SK,11.9,9.8,7.7,6.6,5.3,6.5,6.4,5.8,5.6,5.5
F,25-64,TR,10.6,11.7,11.6,11.7,13.8,12.2,12.2,11.5,10.9,10.1
F,25-74,AT,4.6,4.9,4.5,4.0,3.9,4.7,5.5,3.9,4.1,4.1
F,25-74,BA,NaN,NaN,NaN,NaN,NaN,NaN,19.9,18.0,15.7,15.5
F,25-74,BE,6.8,6.7,6.2,4.8,4.3,4.6,5.0,4.5,4.2,4.4
F,25-74,BG,7.7,6.5,5.7,4.4,3.6,4.4,4.6,3.7,4.0,3.7
F,25-74,CH,4.4,4.5,4.6,4.8,4.4,4.6,4.9,4.1,3.9,4.1
F,25-74,CY,13.0,11.4,10.0,7.9,7.1,7.2,6.7,6.0,5.3,4.6
F,25-74,CZ,5.5,4.3,3.3,2.6,2.2,2.7,3.2,2.5,2.7,2.7
F,25-74,DE,4.0,3.5,3.1,2.7,2.5,3.1,2.8,2.6,2.6,2.8
F,25-74,DK,5.7,5.5,5.0,4.6,4.5,5.2,4.2,3.5,4.2,5.1
F,25-74,EE,5.8,5.8,4.9,4.7,4.3,5.8,4.8,4.0,5.8,6.4
F,25-74,GR,27.2,26.8,24.7,23.1,20.7,18.8,17.8,15.2,13.4,12.1
F,25-74,ES,21.8,19.8,17.7,15.9,14.7,16.0,15.5,13.8,12.8,11.6
F,25-74,FI,7.2,7.1,6.8,5.9,4.9,5.9,5.8,5.4,5.2,6.1
F,25-74,FR,8.6,8.5,8.2,8.0,7.4,6.8,6.6,6.1,6.2,6.0
F,25-74,HR,14.9,12.1,10.4,7.7,6.2,6.4,6.7,6.8,5.7,4.2
F,25-74,HU,6.4,4.5,4.0,3.5,3.0,3.8,3.5,3.1,3.7,3.7
F,25-74,IE,7.9,6.7,5.4,4.7,3.9,4.4,4.9,3.8,3.2,3.4
F,25-74,IS,3.5,2.4,1.8,1.9,2.6,4.6,5.6,3.0,2.3,2.1
F,25-74,IT,10.9,11.1,10.9,10.4,9.9,9.1,9.4,8.4,7.8,6.6
F,25-74,LT,7.5,6.2,5.3,5.1,5.2,7.1,6.1,5.2,6.2,5.8
F,25-74,LU,6.6,5.6,4.9,5.4,4.7,5.8,4.7,3.6,4.1,5.3
F,25-74,LV,8.2,8.1,7.1,6.1,5.1,6.6,6.1,5.3,5.1,5.2
F,25-74,ME,15.6,15.1,15.3,14.3,14.7,16.4,NaN,NaN,NaN,NaN
F,25-74,MK,23.3,20.4,19.5,18.0,16.6,14.2,11.8,10.7,10.3,9.7
F,25-74,MT,4.5,4.1,3.3,3.2,4.1,4.7,3.3,2.8,2.9,2.5
F,25-74,NL,6.5,5.7,4.5,3.4,2.8,2.9,3.5,2.9,2.7,2.8
F,25-74,NO,3.3,3.1,2.9,2.8,2.4,3.2,2.9,2.1,2.2,2.5
F,25-74,PL,6.7,5.3,4.1,3.2,3.1,2.7,2.8,2.4,2.3,2.6
F,25-74,PT,11.1,9.9,8.3,6.5,6.1,6.1,5.8,5.7,5.9,5.8
F,25-74,RO,4.6,3.9,3.0,2.6,2.5,3.9,4.0,3.9,4.2,3.9
F,25-74,RS,16.9,14.7,13.0,12.7,10.1,8.4,11.1,9.1,8.9,8.0
F,25-74,SE,5.4,5.1,5.0,4.9,5.2,6.5,7.3,5.8,6.1,6.5
F,25-74,SI,9.7,8.2,7.1,5.4,4.7,5.0,4.7,3.8,3.4,3.5
F,25-74,SK,11.9,9.7,7.6,6.5,5.2,6.4,6.3,5.7,5.5,5.4
F,25-74,TR,10.4,11.4,11.4,11.5,13.5,12.0,11.9,11.2,10.7,9.9
F,30-34,AT,6.8,6.3,5.1,5.4,5.6,6.6,7.2,5.1,4.8,6.0
F,30-34,BA,NaN,NaN,NaN,NaN,NaN,NaN,22.9,21.9,20.2,17.2
F,30-34,BE,9.4,8.8,7.2,6.3,5.9,6.2,7.1,5.7,4.7,5.8
F,30-34,BG,8.6,6.9,6.2,5.4,4.3,5.1,4.8,5.0,5.0,5.5
F,30-34,CH,5.3,5.5,5.9,5.5,5.0,6.1,5.6,4.7,4.4,5.2
F,30-34,CY,12.7,13.5,9.9,8.8,7.2,8.2,6.9,6.9,6.2,5.6
