SEX,AGE,ISO,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
F,15-24,RO,23.4,21.8,18.6,16.2,17.5,16.5,21.2,24.9,22.2,25.1
F,15-24,RS,48.4,39.5,36.3,32.0,29.9,29.5,28.9,26.0,27.0,23.1
F,15-24,SE,19.6,17.3,17.0,16.3,19.7,22.8,24.1,23.5,21.6,23.6
F,15-24,SI,14.6,14.7,13.0,9.6,9.2,16.2,14.4,12.0,8.7,10.9
F,15-24,SK,27.5,26.3,20.2,16.1,19.7,21.2,22.0,21.7,16.0,18.9
F,15-24,TR,22.2,23.5,25.6,25.0,30.3,29.9,28.7,25.4,23.4,22.4
F,15-29,AT,7.8,7.8,7.0,7.2,6.4,7.7,9.0,7.1,8.2,7.5
F,15-29,BA,NaN,NaN,NaN,NaN,NaN,NaN,35.4,33.6,27.2,25.6
F,15-29,BE,13.9,13.2,12.7,10.7,8.7,10.3,10.3,9.9,10.1,10.0
F,15-29,BG,13.8,10.8,9.4,7.0,6.0,8.3,9.5,6.9,7.3,7.1
F,15-29,CH,7.2,7.2,6.8,6.8,6.4,6.4,7.2,5.8,6.2,7.1
F,15-29,CY,24.4,22.8,18.7,13.3,12.2,10.8,12.3,13.9,10.4,8.2
F,15-29,CZ,10.1,8.9,5.9,5.1,4.1,6.3,6.4,5.3,6.2,6.6
F,15-29,DE,5.7,5.3,4.9,4.4,4.1,5.5,5.4,4.5,4.6,5.0
F,15-29,DK,10.7,10.9,11.2,9.3,9.7,10.8,9.5,8.6,10.4,12.3
F,15-29,EE,9.7,8.8,7.8,7.6,9.2,14.1,10.3,10.0,12.0,14.4
F,15-29,GR,45.7,43.9,41.6,37.4,32.1,32.3,32.9,29.2,24.9,19.5
F,15-29,ES,36.1,33.8,29.4,26.2,25.4,29.9,27.6,23.2,21.5,20.5
F,15-29,FI,16.2,14.8,14.8,12.9,11.4,14.5,12.3,11.1,12.1,14.2
F,15-29,FR,18.0,18.0,16.4,15.8,14.2,15.1,14.3,12.7,13.2,14.0
F,15-29,HR,31.3,25.2,22.5,21.2,16.4,19.0,18.9,18.5,15.0,11.0
F,15-29,HU,12.0,9.2,8.5,7.3,7.1,9.3,8.5,6.2,7.8,8.5
F,15-29,IE,13.6,11.5,10.2,9.6,8.1,11.3,10.5,8.0,7.8,8.3
F,15-29,IS,6.1,5.5,6.0,4.6,5.9,8.8,10.3,6.4,6.5,6.6
F,15-29,IT,31.4,30.6,28.6,26.6,23.8,23.8,23.5,19.6,18.3,15.8
F,15-29,LT,13.1,9.0,7.1,6.2,6.8,11.2,10.3,8.0,8.4,12.0
F,15-29,LU,12.3,10.9,7.8,10.2,9.5,11.6,10.2,9.8,11.2,11.2
F,15-29,LV,11.6,11.6,11.4,9.8,8.2,12.8,9.5,8.3,7.7,11.7
F,15-29,ME,27.2,27.4,27.3,24.1,21.9,31.8,NaN,NaN,NaN,NaN
F,15-29,MK,39.7,39.7,41.7,37.5,33.0,31.8,27.8,24.9,23.6,22.6
F,15-29,MT,8.0,7.0,6.5,4.2,6.1,7.0,5.1,5.4,5.0,5.1
F,15-29,NL,9.3,8.3,7.2,5.2,4.8,6.9,7.2,6.3,6.6,7.0
F,15-29,NO,7.3,7.4,7.0,6.7,6.7,7.8,8.7,6.4,7.7,7.9
F,15-29,PL,13.8,11.9,9.5,8.0,7.0,7.2,7.3,6.9,7.4,7.2
F,15-29,PT,23.4,21.2,17.4,14.0,13.7,15.7,17.4,13.8,14.1,14.3
F,15-29,RO,13.9,12.6,10.4,9.1,9.4,11.1,12.4,13.7,12.4,13.4
F,15-29,RS,37.4,32.8,29.3,26.6,22.5,22.1,20.6,18.3,18.8,16.9
F,15-29,SE,14.5,12.6,12.3,11.8,14.0,15.9,17.3,16.5,16.1,17.0
F,15-29,SI,17.9,16.1,13.7,9.9,9.0,11.0,11.4,9.8,7.1,9.2
F,15-29,SK,18.6,17.9,14.6,11.3,9.7,13.7,14.2,11.5,10.3,10.7
F,15-29,TR,20.1,21.5,22.7,22.7,26.5,25.4,25.2,22.5,20.8,20.2
F,15-39,AT,6.9,7.2,6.1,6.1,5.6,7.0,7.7,5.9,6.5,6.5
F,15-39,BA,NaN,NaN,NaN,NaN,NaN,NaN,27.5,25.0,21.6,20.7
F,15-39,BE,10.4,10.1,9.3,7.9,6.9,7.3,8.1,7.5,7.1,7.5
F,15-39,BG,9.9,8.0,7.1,5.7,4.8,6.0,6.1,5.2,5.9,5.2
F,15-39,CH,6.2,6.1,6.4,6.1,5.5,6.1,6.5,5.3,5.3,5.9
F,15-39,CY,17.8,17.1,13.9,10.7,9.2,8.7,8.7,9.1,7.3,6.7
F,15-39,CZ,8.1,6.3,5.0,4.1,3.4,4.6,5.3,3.9,5.1,5.0
F,15-39,DE,5.0,4.7,4.2,3.8,3.5,4.5,4.2,3.7,3.9,4.3
F,15-39,DK,8.7,9.5,9.3,7.9,7.8,8.8,7.4,6.6,8.1,9.7
F,15-39,EE,7.3,7.8,6.7,6.6,7.1,10.4,7.3,7.2,9.1,10.7
F,15-39,GR,35.8,35.0,32.5,30.2,27.4,25.8,26.0,22.3,19.7,16.8
F,15-39,ES,27.1,25.0,22.0,19.9,19.0,22.5,20.6,17.7,16.7,15.2
F,15-39,FI,12.1,11.4,11.2,9.9,8.7,10.5,9.2,8.1,8.6,10.6
F,15-39,FR,13.5,13.7,12.7,12.2,11.0,11.1,10.6,9.4,9.6,10.1
F,15-39,HR,22.4,17.8,15.4,13.6,10.9,11.6,12.1,11.3,9.4,7.5
F,15-39,HU,9.2,6.7,6.1,5.4,4.9,6.7,6.2,4.7,5.8,5.9
F,15-39,IE,10.2,8.9,7.3,6.9,6.0,7.8,7.5,5.9,5.9,6.0
F,15-39,IS,5.8,5.0,4.0,3.4,4.6,7.3,8.9,4.6,4.5,4.7
F,15-39,IT,20.3,20.3,19.4,18.2,17.2,16.3,16.4,14.4,13.1,11.1
F,15-39,LT,9.5,6.5,5.3,5.4,5.6,8.3,7.3,5.9,7.4,8.0
F,15-39,LU,8.9,8.3,6.4,7.5,7.2,9.4,6.8,5.6,7.4,8.0
F,15-39,LV,10.2,10.0,10.0,8.1,6.8,9.0,7.9,6.3,6.7,8.5
F,15-39,ME,22.5,22.9,22.9,19.4,18.7,24.1,NaN,NaN,NaN,NaN
F,15-39,MK,30.5,28.9,28.9,26.6,22.7,21.2,18.7,17.3,16.5,16.6
F,15-39,MT,5.9,5.5,5.1,4.0,6.1,5.3,3.6,4.2,3.8,3.6
F,15-39,NL,7.9,7.0,5.9,4.2,4.0,5.2,5.9,5.0,5.1,5.4
F,15-39,NO,6.1,6.1,5.8,5.6,5.2,6.3,6.3,4.5,5.3,5.8
F,15-39,PL,9.7,8.1,6.4,5.4,5.1,4.8,4.9,4.2,4.3,4.7
F,15-39,PT,15.6,14.4,12.3,9.1,9.4,10.5,10.6,9.3,9.7,9.7
F,15-39,RO,8.5,7.3,5.9,5.2,5.1,6.8,7.0,7.6,7.5,7.9
F,15-39,RS,26.4,23.4,20.6,19.4,16.4,14.5,16.1,13.5,13.6,12.5
F,15-39,SE,10.7,9.4,9.1,9.0,9.8,11.8,13.1,11.5,11.2,12.0
F,15-39,SI,13.3,12.1,10.3,7.7,7.0,8.0,7.5,6.7,4.8,6.3
F,15-39,SK,15.4,13.7,10.8,9.1,8.0,9.9,8.5,7.7,7.9,8.2
F,15-39,TR,16.2,17.5,18.2,18.0,21.1,19.5,19.4,17.9,16.9,16.1
F,15-59,AT,5.5,5.7,5.2,4.8,4.5,5.4,6.3,4.7,5.0,4.9
F,15-59,BA,NaN,NaN,NaN,NaN,NaN,NaN,22.7,20.4,17.5,17.3
F,15-59,BE,8.0,7.7,7.2,5.7,5.0,5.5,5.9,5.3,5.2,5.4
F,15-59,BG,8.6,7.1,6.0,4.8,3.9,4.8,5.1,4.2,4.4,4.0
F,15-59,CH,5.1,5.3,5.4,5.4,4.9,5.2,5.5,4.6,4.5,4.9
F,15-59,CY,15.1,13.7,11.8,9.1,8.0,7.8,7.5,7.1,6.2,5.4
F,15-59,CZ,6.3,4.9,3.7,2.9,2.5,3.1,3.6,2.9,3.2,3.2
F,15-59,DE,4.3,3.8,3.3,3.0,2.8,3.5,3.3,2.9,2.9,3.3
F,15-59,DK,6.8,6.7,6.3,5.5,5.4,6.2,5.3,4.6,5.6,6.9
F,15-59,EE,6.8,6.5,5.7,5.6,5.4,7.3,6.0,5.5,7.2,8.3
F,15-59,GR,29.7,28.8,26.7,24.8,22.1,20.4,19.4,16.9,14.8,12.9
F,15-59,ES,24.0,21.8,19.4,17.2,16.2,17.9,17.2,15.1,14.1,12.7
F,15-59,FI,9.2,8.9,8.6,7.4,6.4,7.7,7.1,6.5,6.5,7.8
F,15-59,FR,10.2,10.1,9.6,9.3,8.5,8.1,7.9,7.2,7.4,7.5
F,15-59,HR,17.6,14.2,12.1,9.7,7.4,7.8,8.2,8.2,6.8,5.2
F,15-59,HU,7.1,5.1,4.5,4.0,3.6,4.6,4.3,3.5,4.2,4.4
F,15-59,IE,9.1,7.8,6.5,5.9,4.8,5.8,6.2,4.7,4.4,4.4
F,15-59,IS,4.3,3.3,2.9,2.5,3.3,5.7,7.0,3.6,3.2,3.3
F,15-59,IT,13.3,13.4,13.1,12.4,11.7,10.9,11.2,9.8,9.2,7.8
F,15-59,LT,8.6,7.0,6.0,5.7,5.8,8.1,6.8,5.7,6.7,6.7
F,15-59,LU,7.4,6.7,5.5,6.0,5.6,7.1,5.7,4.6,5.4,6.3
F,15-59,LV,9.1,9.0,8.2,6.7,5.8,7.4,7.0,5.9,5.6,6.2
F,15-59,ME,17.9,18.0,17.8,15.8,16.3,19.2,NaN,NaN,NaN,NaN
F,15-59,MK,25.8,23.4,22.5,20.4,19.0,16.5,14.3,13.1,12.1,11.4
F,15-59,MT,5.5,5.3,4.4,3.6,4.8,5.3,3.6,3.2,3.3,3.1
F,15-59,NL,7.2,6.4,5.2,3.8,3.4,4.1,4.6,3.8,3.8,4.0
F,15-59,NO,4.3,4.2,4.0,3.8,3.7,4.4,4.5,3.3,3.8,4.1
F,15-59,PL,8.0,6.5,5.1,4.0,3.7,3.4,3.6,3.0,3.0,3.3
F,15-59,PT,13.3,11.6,9.8,7.7,7.4,7.4,7.2,6.7,7.0,7.1
F,15-59,RO,6.3,5.4,4.4,3.7,3.6,4.9,5.2,5.2,5.3,5.2
F,15-59,RS,19.8,17.3,15.4,14.7,12.0,10.3,13.0,10.7,10.6,9.4
F,15-59,SE,7.6,6.9,6.7,6.5,7.3,8.8,9.6,8.3,8.2,8.9
F,15-59,SI,10.3,8.7,7.7,5.9,5.0,5.7,5.4,4.2,3.6,3.9
F,15-59,SK,13.1,11.0,8.7,7.2,6.2,7.3,7.2,6.7,6.2,6.3
F,15-59,TR,13.1,14.2,14.5,14.4,17.1,15.5,15.3,14.0,13.3,12.4
F,15-64,AT,5.4,5.6,5.1,4.7,4.4,5.3,6.2,4.6,4.9,4.8
F,15-64,BA,NaN,NaN,NaN,NaN,NaN,NaN,22.2,19.9,16.9,16.7
F,15-64,BE,7.8,7.6,7.1,5.6,5.0,5.4,5.9,5.3,5.1,5.3
F,15-64,BG,8.5,7.0,6.0,4.7,3.8,4.7,5.0,4.0,4.3,4.0
F,15-64,CH,5.0,5.1,5.2,5.3,4.8,5.1,5.4,4.5,4.4,4.7
F,15-64,CY,14.9,13.5,11.4,8.8,7.8,7.6,7.4,6.9,6.0,5.2
F,15-64,CZ,6.2,4.8,3.6,2.8,2.4,3.0,3.5,2.8,3.1,3.1
F,15-64,DE,4.3,3.8,3.4,3.0,2.8,3.5,3.2,2.9,2.9,3.2
F,15-64,DK,6.6,6.5,6.2,5.4,5.4,6.1,5.2,4.5,5.4,6.6
F,15-64,EE,6.4,6.4,5.4,5.4,5.1,7.1,5.8,5.4,7.0,7.9
F,15-64,GR,29.1,28.3,26.3,24.4,21.7,20.0,19.1,16.6,14.5,12.9
F,15-64,ES,23.7,21.5,19.1,17.1,16.1,17.5,17.0,15.0,14.0,12.7
F,15-64,FI,9.0,8.7,8.5,7.4,6.3,7.6,7.2,6.5,6.5,7.7
F,15-64,FR,10.0,9.9,9.5,9.1,8.4,8.0,7.8,7.2,7.3,7.3
F,15-64,HR,17.2,13.9,11.9,9.4,7.1,7.6,7.9,7.9,6.7,5.0
F,15-64,HU,7.1,5.1,4.6,4.0,3.6,4.5,4.2,3.5,4.2,4.4
F,15-64,IE,9.0,7.7,6.4,5.8,4.8,5.7,6.2,4.6,4.3,4.4
F,15-64,IS,4.2,3.2,2.8,2.5,3.2,5.5,6.6,3.5,3.1,3.3
F,15-64,IT,12.8,12.9,12.5,11.9,11.2,10.4,10.8,9.5,8.9,7.5
F,15-64,LT,8.4,6.8,5.9,5.6,5.7,8.0,6.9,5.7,6.7,6.8
F,15-64,LU,7.4,6.6,5.5,5.9,5.5,7.0,5.7,4.7,5.5,6.3
F,15-64,LV,8.8,8.6,7.9,6.6,5.7,7.4,6.9,5.8,5.6,6.2
F,15-64,ME,17.6,17.4,17.2,15.3,15.9,18.8,NaN,NaN,NaN,NaN
F,15-64,MK,25.3,22.9,22.0,20.1,18.6,16.1,13.8,12.6,11.5,11.1
F,15-64,MT,5.4,5.2,4.3,3.7,4.7,5.2,3.5,3.1,3.2,3.0
F,15-64,NL,7.3,6.5,5.3,4.0,3.4,4.0,4.5,3.8,3.7,3.9
F,15-64,NO,4.1,4.0,3.8,3.6,3.5,4.2,4.3,3.2,3.6,3.9
F,15-64,PL,7.8,6.3,5.0,3.9,3.6,3.3,3.4,3.0,2.9,3.1
F,15-64,PT,13.0,11.4,9.6,7.6,7.2,7.3,7.1,6.7,7.0,7.0
F,15-64,RO,6.1,5.2,4.2,3.6,3.5,4.8,5.1,5.1,5.1,5.1
F,15-64,RS,19.2,16.7,14.8,14.2,11.5,9.9,12.5,10.3,10.2,9.1
F,15-64,SE,7.4,6.7,6.5,6.3,7.1,8.5,9.3,8.1,8.0,8.6
F,15-64,SI,10.2,8.7,7.6,5.8,5.0,5.7,5.4,4.3,3.6,3.9
F,15-64,SK,13.0,10.8,8.5,7.1,6.0,7.1,7.1,6.5,6.0,6.1
F,15-64,TR,12.9,13.9,14.2,14.0,16.7,15.1,15.0,13.8,13.0,12.1
F,15-74,AT,5.3,5.6,5.0,4.7,4.4,5.2,6.1,4.5,4.9,4.7
F,15-74,BA,NaN,NaN,NaN,NaN,NaN,NaN,22.0,19.8,16.7,16.6
F,15-74,BE,7.8,7.6,7.1,5.6,4.9,5.4,5.9,5.3,5.1,5.3
